Module Code,Positive Comments,Negative Comments,Positive Sentiment Ratio,Aggregated Sentiment Score
CAH5102,,,,
CAH5103,,,,
CAH5104,,,,
CAH5105,,,,
CAH5106,,,,
CAS5101,,,,
CAS5660,,,,
CAS6101,,,,
CAS6660,,,,
CAS6770,,,,
CDE2000,0,3,0,-0.994180381
CDE2212,0,2,0,-0.995792687
CDE2501,2,4,0.333333333,-0.34553806
CDE2502,0,1,0,-0.872432351
CDE2503,,,,
CDE3504,,,,
CDE3505,,,,
CDE4501B,,,,
CDE5301,,,,
CDE5302,,,,
CDE5304,,,,
CDE5311,,,,
CDM5101,,,,
CDM5102,,,,
CDM5103,,,,
CDM5104,,,,
CE1103,0,1,0,-0.961214244
CE2003,,,,
CE2134,1,2,0.333333333,-0.190581818
CE2155,0,1,0,-0.978297114
CE2407A,1,0,1,0.992038965
CE2407B,0,1,0,-0.952804148
CE3001,,,,
CE3102,,,,
CE3115,1,0,1,0.522380352
CE3116,,,,
CE3121,,,,
CE3132,,,,
CE3155A,,,,
CE3155B,,,,
CE3165,,,,
CE3166,,,,
CE3201,,,,
CE3202,,,,
CE3203,,,,
CE3204,,,,
CE4103,,,,
CE4103R,,,,
CE4104,,,,
CE4221,,,,
CE5001,,,,
CE5002A,,,,
CE5002B,,,,
CE5002D,,,,
CE5002E,,,,
CE5003,,,,
CE5010A,,,,
CE5010QA,,,,
CE5101,,,,
CE5104A,,,,
CE5104B,,,,
CE5104QA,,,,
CE5104QB,,,,
CE5106A,,,,
CE5106B,,,,
CE5106QA,,,,
CE5106QB,,,,
CE5107A,,,,
CE5107B,,,,
CE5107QA,,,,
CE5107QB,,,,
CE5108A,,,,
CE5108B,,,,
CE5108QA,,,,
CE5108QB,,,,
CE5111,,,,
CE5112,,,,
CE5113A,,,,
CE5113B,,,,
CE5113QA,,,,
CE5113QB,,,,
CE5203,,,,
CE5205,,,,
CE5208,,,,
CE5209,,,,
CE5214QA,,,,
CE5214QB,,,,
CE5308A,,,,
CE5308B,,,,
CE5308QA,,,,
CE5308QB,,,,
CE5310,,,,
CE5312,,,,
CE5314,,,,
CE5315,,,,
CE5316QA,,,,
CE5316QB,,,,
CE5317A,,,,
CE5317B,,,,
CE5317QA,,,,
CE5317QB,,,,
CE5509A,,,,
CE5509B,,,,
CE5509QA,,,,
CE5509QB,,,,
CE5510A,,,,
CE5510B,,,,
CE5510QA,,,,
CE5510QB,,,,
CE5513,,,,
CE5515,,,,
CE5516A,,,,
CE5516B,,,,
CE5516QA,,,,
CE5516QB,,,,
CE5604,,,,
CE5610A,,,,
CE5610B,,,,
CE5610QA,,,,
CE5610QB,,,,
CE5611A,,,,
CE5611B,,,,
CE5611QA,,,,
CE5611QB,,,,
CE5666,,,,
